IPAddress,RecordedDate,Question_1,Question_2,Question_3_1,Question_3_2,Question_3_3,Question_3_4,Question_3_5,Question_3_6,Question_3_7,Question_3_8,Question_3_8_TEXT,Question_4,Question_5_1,Question_5_2,Question_5_3,Question_6_1,Question_6_2,Question_6_3,Question_6_4,Question_7_1,Question_7_2,Question_7_3,Question_7_4,Question_7_5,Question_7_6,Question_7_7,Question_8,Question_9,Question_9_5_TEXT,Question_10,Question_11_1,Question_11_2,Question_11_3,Question_11_4,Question_11_5,Question_12,Question_13,Question_14,Question_15_1,Question_15_2,Question_15_3,Question_15_4,Question_15_5,Question_15_5_TEXT,Question_16,Question_17,filter_$,PrimaryLast,Miss,Missi,WTP_DOLLARS
 ,12/8/2025 19:02:21, , , , , , , , , , , , , , , ,0,0,0,0, , , , , , , , , , , ,0,0,0,0,0, , , , , , , , , , , ,0,1,0,34, 
134.71.249.179,1/28/2026 8:35:55,1,1,0,0,0,1,0,0,1,0, ,3,4,4,4,1,1,1,0,4,4,4,4,3,4,4,27,1, ,4,1,0,0,0,0,3,2,3,1,0,0,1,0, ,187,3,0,1,0,0,2.99
146.75.253.248,2/10/2026 10:19:19,1,3,1,1,0,1,1,1,0,0, ,5,5,5,5,0,0,0,1,4,4,4,4,4,5,4,29,4, ,4,1,1,0,0,0,3,1,6,1,0,0,1,0, ,187,3,1,1,0,0,5.99
96.37.220.196,2/10/2026 10:26:36,1,3,1,1,1,1,1,1,1,0, ,4,2,5,4,0,0,1,0,4,4,5,4,4,3,2,27,5,0,4,1,1,0,0,0,3,1,4,1,0,0,0,0, ,187,3,1,1,0,0, 
24.64.125.120,2/10/2026 10:27:24,1,3,1,0,1,0,1,1,0,0, ,4,4,4,4,0,0,0,1,3,4,4,4,5,5,3,29,3, ,4,1,0,0,0,0,4,0,3,1,0,0,0,0, ,31,4,1,1,0,0,4.99
104.55.12.239,2/11/2026 18:47:05,1,3,1,0,0,1,1,1,0,0, ,4,5,5,4,1,1,1,1,3,3,4,5,4,3,4,28,1, ,2,1,0,0,1,0,4,1,2,1,0,0,0,0, ,187,2,1,1,0,0,2.99
24.90.22.231,2/11/2026 19:00:01,1,1,1,0,0,1,0,0,0,0, ,5,5,3,4,0,1,0,0,3,3,4,4,1,3,3,28,2, ,2,1,0,0,1,0,4,1,6,1,0,0,0,0, ,187,4,1,1,0,0,3.99
104.28.86.122,2/11/2026 19:08:54,1,2,1,0,1,1,1,0,0,0, ,5,5,5,5,0,1,1,1,3,4,4,4,5,2,2,27,2, ,3,1,0,0,0,0,4,1,5,1,0,0,0,0, ,185,4,1,1,0,0,3.99
1.136.25.18,2/11/2026 19:14:26,1,3,1,0,0,1,0,0,1,0, ,5,4,5,3,0,1,1,1,2,4,5,4,5,2,2,27,5,20,4,1,1,0,0,0,2,1,4,1,0,0,0,0, ,9,2,1,1,0,0, 
23.93.235.163,2/11/2026 19:40:46,1,3,1,0,1,1,1,1,0,1,200 hr Yoga teacher training,2,4,4,3,0,1,1,0,4,4,4,5,4,2,1,27,5,0,3, , , , , ,4,1,6,1,0,0,0,0, ,187,3,1,1,0,5, 
